date,question,profil,réponse,ratio
01/02/2011,Transport,Total,ratio,"0,57"
01/02/2011,Transport,Homme,ratio,"0,58"
01/02/2011,Transport,Femme,ratio,"0,57"
01/02/2011,Transport,18 - 24 ans,ratio,"0,70"
01/02/2011,Transport,25 - 34 ans,ratio,"0,61"
01/02/2011,Transport,35 - 49 ans,ratio,"0,53"
01/02/2011,Transport,50 - 64 ans,ratio,"0,49"
01/02/2011,Transport,65 ans et +,ratio,"0,61"
01/02/2011,Transport,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",ratio,"0,54"
01/02/2011,Transport,"Profession intermédiaire (technicien, agent de maitrise)",ratio,"0,48"
01/02/2011,Transport,Employé et personnel de service,ratio,"0,63"
01/02/2011,Transport,Ouvrier qualifié et non qualifié,ratio,"0,54"
01/02/2011,Transport,Retraité,ratio,"0,59"
01/02/2011,Transport,75 - Paris,ratio,"0,76"
01/02/2011,Transport,77 - Seine et Marne,ratio,"0,47"
01/02/2011,Transport,78 - Yvelines,ratio,"0,50"
01/02/2011,Transport,91 - Essonne,ratio,"0,43"
01/02/2011,Transport,92 - Hauts-de-seine,ratio,"0,66"
01/02/2011,Transport,93 - Seine-Saint-Denis,ratio,"0,49"
01/02/2011,Transport,94 - Val-de-Marne,ratio,"0,62"
01/02/2011,Transport,95 - Val d'Oise,ratio,"0,47"
01/02/2011,Environnement,Total,ratio,"0,62"
01/02/2011,Environnement,Homme,ratio,"0,64"
01/02/2011,Environnement,Femme,ratio,"0,61"
01/02/2011,Environnement,18 - 24 ans,ratio,"0,57"
01/02/2011,Environnement,25 - 34 ans,ratio,"0,62"
01/02/2011,Environnement,35 - 49 ans,ratio,"0,58"
01/02/2011,Environnement,50 - 64 ans,ratio,"0,64"
01/02/2011,Environnement,65 ans et +,ratio,"0,71"
01/02/2011,Environnement,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",ratio,"0,56"
01/02/2011,Environnement,"Profession intermédiaire (technicien, agent de maitrise)",ratio,"0,58"
01/02/2011,Environnement,Employé et personnel de service,ratio,"0,62"
01/02/2011,Environnement,Ouvrier qualifié et non qualifié,ratio,"0,61"
01/02/2011,Environnement,Retraité,ratio,"0,69"
01/02/2011,Environnement,75 - Paris,ratio,"0,56"
01/02/2011,Environnement,77 - Seine et Marne,ratio,"0,74"
01/02/2011,Environnement,78 - Yvelines,ratio,"0,69"
01/02/2011,Environnement,91 - Essonne,ratio,"0,68"
01/02/2011,Environnement,92 - Hauts-de-seine,ratio,"0,67"
01/02/2011,Environnement,93 - Seine-Saint-Denis,ratio,"0,57"
01/02/2011,Environnement,94 - Val-de-Marne,ratio,"0,51"
01/02/2011,Environnement,95 - Val d'Oise,ratio,"0,61"
01/02/2011,Economique,Total,ratio,"0,53"
01/02/2011,Economique,Homme,ratio,"0,52"
01/02/2011,Economique,Femme,ratio,"0,54"
01/02/2011,Economique,18 - 24 ans,ratio,"0,63"
01/02/2011,Economique,25 - 34 ans,ratio,"0,59"
01/02/2011,Economique,35 - 49 ans,ratio,"0,49"
01/02/2011,Economique,50 - 64 ans,ratio,"0,45"
01/02/2011,Economique,65 ans et +,ratio,"0,53"
01/02/2011,Economique,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",ratio,"0,63"
01/02/2011,Economique,"Profession intermédiaire (technicien, agent de maitrise)",ratio,"0,48"
01/02/2011,Economique,Employé et personnel de service,ratio,"0,52"
01/02/2011,Economique,Ouvrier qualifié et non qualifié,ratio,"0,49"
01/02/2011,Economique,Retraité,ratio,"0,50"
01/02/2011,Economique,75 - Paris,ratio,"0,58"
01/02/2011,Economique,77 - Seine et Marne,ratio,"0,49"
01/02/2011,Economique,78 - Yvelines,ratio,"0,62"
01/02/2011,Economique,91 - Essonne,ratio,"0,53"
01/02/2011,Economique,92 - Hauts-de-seine,ratio,"0,57"
01/02/2011,Economique,93 - Seine-Saint-Denis,ratio,"0,46"
01/02/2011,Economique,94 - Val-de-Marne,ratio,"0,50"
01/02/2011,Economique,95 - Val d'Oise,ratio,"0,44"
01/02/2011,Transport,Total,ST+,"52,60"
01/02/2011,Transport,Homme,ST+,"52,50"
01/02/2011,Transport,Femme,ST+,"52,70"
01/02/2011,Transport,18 - 24 ans,ST+,"69,60"
01/02/2011,Transport,25 - 34 ans,ST+,"56,50"
01/02/2011,Transport,35 - 49 ans,ST+,"48,80"
01/02/2011,Transport,50 - 64 ans,ST+,"44,70"
01/02/2011,Transport,65 ans et +,ST+,"51,80"
01/02/2011,Transport,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",ST+,"52,90"
01/02/2011,Transport,"Profession intermédiaire (technicien, agent de maitrise)",ST+,"45,10"
01/02/2011,Transport,Employé et personnel de service,ST+,"58,80"
01/02/2011,Transport,Ouvrier qualifié et non qualifié,ST+,"48,90"
01/02/2011,Transport,Retraité,ST+,"51,20"
01/02/2011,Transport,75 - Paris,ST+,"74,10"
01/02/2011,Transport,77 - Seine et Marne,ST+,"37,80"
01/02/2011,Transport,78 - Yvelines,ST+,"46,10"
01/02/2011,Transport,91 - Essonne,ST+,"38,80"
01/02/2011,Transport,92 - Hauts-de-seine,ST+,"62,30"
01/02/2011,Transport,93 - Seine-Saint-Denis,ST+,"44,90"
01/02/2011,Transport,94 - Val-de-Marne,ST+,"58,20"
01/02/2011,Transport,95 - Val d'Oise,ST+,"42,00"
01/02/2011,Environnement,Total,ST+,"62,20"
01/02/2011,Environnement,Homme,ST+,"63,90"
01/02/2011,Environnement,Femme,ST+,"60,50"
01/02/2011,Environnement,18 - 24 ans,ST+,"57,30"
01/02/2011,Environnement,25 - 34 ans,ST+,"61,50"
01/02/2011,Environnement,35 - 49 ans,ST+,"58,30"
01/02/2011,Environnement,50 - 64 ans,ST+,"64,20"
01/02/2011,Environnement,65 ans et +,ST+,"70,90"
01/02/2011,Environnement,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",ST+,"56,40"
01/02/2011,Environnement,"Profession intermédiaire (technicien, agent de maitrise)",ST+,"57,60"
01/02/2011,Environnement,Employé et personnel de service,ST+,"61,90"
01/02/2011,Environnement,Ouvrier qualifié et non qualifié,ST+,"60,50"
01/02/2011,Environnement,Retraité,ST+,"69,00"
01/02/2011,Environnement,75 - Paris,ST+,"55,50"
01/02/2011,Environnement,77 - Seine et Marne,ST+,"73,60"
01/02/2011,Environnement,78 - Yvelines,ST+,"69,30"
01/02/2011,Environnement,91 - Essonne,ST+,"68,30"
01/02/2011,Environnement,92 - Hauts-de-seine,ST+,"66,30"
01/02/2011,Environnement,93 - Seine-Saint-Denis,ST+,"57,10"
01/02/2011,Environnement,94 - Val-de-Marne,ST+,"51,20"
01/02/2011,Environnement,95 - Val d'Oise,ST+,"60,90"
01/02/2011,Economique,Total,ST+,"50,50"
01/02/2011,Economique,Homme,ST+,"49,10"
01/02/2011,Economique,Femme,ST+,"51,70"
01/02/2011,Economique,18 - 24 ans,ST+,"61,50"
01/02/2011,Economique,25 - 34 ans,ST+,"57,90"
01/02/2011,Economique,35 - 49 ans,ST+,"47,60"
01/02/2011,Economique,50 - 64 ans,ST+,"43,20"
01/02/2011,Economique,65 ans et +,ST+,"46,70"
01/02/2011,Economique,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",ST+,"62,10"
01/02/2011,Economique,"Profession intermédiaire (technicien, agent de maitrise)",ST+,"46,60"
01/02/2011,Economique,Employé et personnel de service,ST+,"50,60"
01/02/2011,Economique,Ouvrier qualifié et non qualifié,ST+,"47,70"
01/02/2011,Economique,Retraité,ST+,"45,20"
01/02/2011,Economique,75 - Paris,ST+,"53,70"
01/02/2011,Economique,77 - Seine et Marne,ST+,"46,70"
01/02/2011,Economique,78 - Yvelines,ST+,"60,30"
01/02/2011,Economique,91 - Essonne,ST+,"50,80"
01/02/2011,Economique,92 - Hauts-de-seine,ST+,"53,70"
01/02/2011,Economique,93 - Seine-Saint-Denis,ST+,"45,70"
01/02/2011,Economique,94 - Val-de-Marne,ST+,"48,10"
01/02/2011,Economique,95 - Val d'Oise,ST+,"42,00"
01/02/2011,Transport,Total,ST-,"39,30"
01/02/2011,Transport,Homme,ST-,"37,90"
01/02/2011,Transport,Femme,ST-,"40,50"
01/02/2011,Transport,18 - 24 ans,ST-,"29,80"
01/02/2011,Transport,25 - 34 ans,ST-,"36,10"
01/02/2011,Transport,35 - 49 ans,ST-,"43,80"
01/02/2011,Transport,50 - 64 ans,ST-,"46,60"
01/02/2011,Transport,65 ans et +,ST-,"32,70"
01/02/2011,Transport,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",ST-,"45,40"
01/02/2011,Transport,"Profession intermédiaire (technicien, agent de maitrise)",ST-,"48,20"
01/02/2011,Transport,Employé et personnel de service,ST-,"35,20"
01/02/2011,Transport,Ouvrier qualifié et non qualifié,ST-,"40,90"
01/02/2011,Transport,Retraité,ST-,"35,30"
01/02/2011,Transport,75 - Paris,ST-,"23,20"
01/02/2011,Transport,77 - Seine et Marne,ST-,"42,70"
01/02/2011,Transport,78 - Yvelines,ST-,"45,90"
01/02/2011,Transport,91 - Essonne,ST-,"51,20"
