date,question,profil,ratio
01/02/2011,Transport,Total,"0,57"
01/02/2011,Transport,Homme,"0,58"
01/02/2011,Transport,Femme,"0,57"
01/02/2011,Transport,18 - 24 ans,"0,70"
01/02/2011,Transport,25 - 34 ans,"0,61"
01/02/2011,Transport,35 - 49 ans,"0,53"
01/02/2011,Transport,50 - 64 ans,"0,49"
01/02/2011,Transport,65 ans et +,"0,61"
01/02/2011,Transport,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus","0,54"
01/02/2011,Transport,"Profession intermédiaire (technicien, agent de maitrise)","0,48"
01/02/2011,Transport,Employé et personnel de service,"0,63"
01/02/2011,Transport,Ouvrier qualifié et non qualifié,"0,54"
01/02/2011,Transport,Retraité,"0,59"
01/02/2011,Transport,75 - Paris,"0,76"
01/02/2011,Transport,77 - Seine et Marne,"0,47"
01/02/2011,Transport,78 - Yvelines,"0,50"
01/02/2011,Transport,91 - Essonne,"0,43"
01/02/2011,Transport,92 - Hauts-de-seine,"0,66"
01/02/2011,Transport,93 - Seine-Saint-Denis,"0,49"
01/02/2011,Transport,94 - Val-de-Marne,"0,62"
01/02/2011,Transport,95 - Val d'Oise,"0,47"
01/02/2011,Environnement,Total,"0,62"
01/02/2011,Environnement,Homme,"0,64"
01/02/2011,Environnement,Femme,"0,61"
01/02/2011,Environnement,18 - 24 ans,"0,57"
01/02/2011,Environnement,25 - 34 ans,"0,62"
01/02/2011,Environnement,35 - 49 ans,"0,58"
01/02/2011,Environnement,50 - 64 ans,"0,64"
01/02/2011,Environnement,65 ans et +,"0,71"
01/02/2011,Environnement,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus","0,56"
01/02/2011,Environnement,"Profession intermédiaire (technicien, agent de maitrise)","0,58"
01/02/2011,Environnement,Employé et personnel de service,"0,62"
01/02/2011,Environnement,Ouvrier qualifié et non qualifié,"0,61"
01/02/2011,Environnement,Retraité,"0,69"
01/02/2011,Environnement,75 - Paris,"0,56"
01/02/2011,Environnement,77 - Seine et Marne,"0,74"
01/02/2011,Environnement,78 - Yvelines,"0,69"
01/02/2011,Environnement,91 - Essonne,"0,68"
01/02/2011,Environnement,92 - Hauts-de-seine,"0,67"
01/02/2011,Environnement,93 - Seine-Saint-Denis,"0,57"
01/02/2011,Environnement,94 - Val-de-Marne,"0,51"
01/02/2011,Environnement,95 - Val d'Oise,"0,61"
01/02/2011,Economique,Total,"0,53"
01/02/2011,Economique,Homme,"0,52"
01/02/2011,Economique,Femme,"0,54"
01/02/2011,Economique,18 - 24 ans,"0,63"
01/02/2011,Economique,25 - 34 ans,"0,59"
01/02/2011,Economique,35 - 49 ans,"0,49"
01/02/2011,Economique,50 - 64 ans,"0,45"
01/02/2011,Economique,65 ans et +,"0,53"
